"","pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher_1","fielder_2_1","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"1","SL",2021-10-03,78.9,2.44,5.26,"Seager, Kyle",572122,650671,"field_out","hit_into_play",NA,NA,NA,NA,1,"Kyle Seager lines out to third baseman Jack Mayfield.","R","L","L","SEA","LAA","X",5,"line_drive",2,2,2021,-0.97,0.53,-0.8,3.1,NA,NA,NA,1,7,"Bot",97.61,150.08,NA,NA,435559,NA,NA,-5.24411575013613,-114.865110778518,1.13074694084261,-7.58250103772785,21.7535066834362,-27.9658663658565,3.37,1.53,144,68.2,17,78.9,2552,6.3,632237,650671,435559,665120,664058,608686,650859,594838,669016,501571,54.17,0.546,0.491,0,1,0,0,4,68,5,"Slider",3,7,3,7,7,3,3,7,"Infield shift","Standard",290,-0.01,-0.142
"2","FF",2021-10-03,92.4,2.1,5.33,"Seager, Kyle",572122,650671,"","ball",NA,NA,NA,NA,11,"Kyle Seager lines out to third baseman Jack Mayfield.","R","L","L","SEA","LAA","B",NA,"",1,2,2021,0.54,1.32,-1.96,2.55,NA,NA,NA,1,7,"Bot",NA,NA,NA,NA,435559,NA,NA,-11.5531154177026,-134.044336982793,-4.12268005157718,9.0060468583936,28.6126761999366,-15.5043757907476,3.36,1.53,NA,NA,NA,92.7,2231,6.6,632237,650671,435559,665120,664058,608686,650859,594838,669016,501571,53.87,NA,NA,NA,NA,NA,NA,NA,68,4,"4-Seam Fastball",3,7,3,7,7,3,3,7,"Infield shift","Standard",137,0,0.028
"3","SL",2021-10-03,85.7,2.38,6,"Seager, Kyle",572122,672282,"field_out","hit_into_play",NA,NA,NA,NA,5,"Kyle Seager flies out to right fielder Jose Rojas.","R","L","L","SEA","LAA","X",9,"fly_ball",1,0,2021,-0.14,-0.23,0.04,2.52,NA,664034,571745,1,1,"Bot",166.52,89.5,NA,NA,435559,NA,NA,-5.19976426173647,-124.879216683495,-1.56512841919383,-0.546946176347691,23.4232492661878,-34.4602372064689,3.37,1.53,290,83.1,40,85.4,2294,5.8,632237,672282,435559,665120,664058,608686,650859,594838,501571,670351,54.65,0.006,0.005,0,1,0,0,3,10,2,"Slider",0,2,0,2,2,0,0,2,"Infield shift","Standard",319,-0.046,-0.567
"4","SL",2021-10-03,77.8,2.33,5.28,"Seager, Kyle",572122,650671,"","foul",NA,NA,NA,NA,5,"Kyle Seager lines out to third baseman Jack Mayfield.","R","L","L","SEA","LAA","S",NA,"",1,1,2021,-1.1,0.06,0.07,2.44,NA,NA,NA,1,7,"Bot",NA,NA,NA,NA,435559,NA,NA,-2.81594822446764,-113.311813622658,0.737504910264208,-8.86749538304303,22.0343488650179,-32.0289746338834,3.37,1.53,193,69,60,77.6,2473,6.2,632237,650671,435559,665120,664058,608686,650859,594838,669016,501571,54.26,NA,NA,NA,NA,NA,NA,NA,68,3,"Slider",3,7,3,7,7,3,3,7,"Infield shift","Standard",292,0,-0.043
"5","SL",2021-10-03,78.2,2.53,5.31,"Seager, Kyle",572122,650671,"","called_strike",NA,NA,NA,NA,6,"Kyle Seager lines out to third baseman Jack Mayfield.","R","L","L","SEA","LAA","S",NA,"",1,0,2021,-0.85,-0.21,0.61,2.23,NA,NA,NA,1,7,"Bot",NA,NA,NA,NA,435559,NA,NA,-2.56752632542918,-113.902729071653,0.652925048757899,-6.88691931331924,21.8821235850275,-34.3731170341304,3.33,1.53,NA,NA,NA,77.9,2408,6.1,632237,650671,435559,665120,664058,608686,650859,594838,669016,501571,54.38,NA,NA,NA,NA,NA,NA,NA,68,2,"Slider",3,7,3,7,7,3,3,7,"Infield shift","Standard",291,0,-0.032
"6","SL",2021-10-03,86.5,2.45,5.98,"Seager, Kyle",572122,672282,"","ball",NA,NA,NA,NA,13,"Kyle Seager flies out to right fielder Jose Rojas.","R","L","L","SEA","LAA","B",NA,"",0,0,2021,-0.26,-0.43,-1.09,1.61,NA,664034,571745,1,1,"Bot",NA,NA,NA,NA,435559,NA,NA,-7.83156098107723,-125.810971744226,-3.29674841755351,-1.17662552774683,26.1244074182848,-36.2255601602906,3.44,1.53,NA,NA,NA,85.7,2240,5.9,632237,672282,435559,665120,664058,608686,650859,594838,501571,670351,54.62,NA,NA,NA,NA,NA,NA,NA,10,1,"Slider",0,2,0,2,2,0,0,2,"Infield shift","Standard",327,0,0.093
"7","SL",2021-10-03,79.1,2.46,5.37,"Seager, Kyle",572122,650671,"","ball",NA,NA,NA,NA,12,"Kyle Seager lines out to third baseman Jack Mayfield.","R","L","L","SEA","LAA","B",NA,"",0,0,2021,-0.75,-0.16,0.5,3.47,NA,NA,NA,1,7,"Bot",NA,NA,NA,NA,435559,NA,NA,-2.8644013597085,-115.12380539642,2.94041705381715,-6.10046923525593,21.9676852177583,-34.3413565020515,3.35,1.53,NA,NA,NA,78.6,2410,6,632237,650671,435559,665120,664058,608686,650859,594838,669016,501571,54.53,NA,NA,NA,NA,NA,NA,NA,68,1,"Slider",3,7,3,7,7,3,3,7,"Infield shift","Standard",284,0,0.026
"8","CU",2021-10-03,81,-2.23,5.89,"Seager, Kyle",572122,661383,"field_out","hit_into_play",NA,NA,NA,NA,4,"Kyle Seager flies out to right fielder Jose Rojas.","R","L","R","SEA","LAA","X",9,"fly_ball",1,1,2021,0.7,-0.57,-0.66,2.24,NA,NA,NA,1,3,"Bot",175.25,94.69,NA,NA,435559,NA,NA,2.14064519383815,-117.989605259868,-0.442120392483507,6.11585268932538,22.9077592971387,-37.6385429154903,3.37,1.53,286,83.7,41,80.3,2104,5.8,632237,661383,435559,665120,664058,608686,650859,594838,501571,670351,54.73,0.003,0.003,0,1,0,0,3,30,3,"Curveball",2,4,2,4,4,2,2,4,"Infield shift","Standard",29,-0.018,-0.157
"9","FF",2021-10-03,96.1,-2.03,5.93,"Seager, Kyle",572122,661383,"","called_strike",NA,NA,NA,NA,5,"Kyle Seager flies out to right fielder Jose Rojas.","R","L","R","SEA","LAA","S",NA,"",1,0,2021,-0.15,1.5,-0.06,2.62,NA,NA,NA,1,3,"Bot",NA,NA,NA,NA,435559,NA,NA,5.50580750984726,-139.731411828152,-6.5144784697501,-3.17421682602937,30.9191450243617,-11.2761372577244,3.4,1.53,NA,NA,NA,95.3,2361,5.8,632237,661383,435559,665120,664058,608686,650859,594838,501571,670351,54.68,NA,NA,NA,NA,NA,NA,NA,30,2,"4-Seam Fastball",2,4,2,4,4,2,2,4,"Infield shift","Standard",204,0,-0.032
"10","SL",2021-10-03,85.2,-2.54,5.61,"Seager, Kyle",572122,594577,"field_out","hit_into_play",NA,NA,NA,NA,7,"Kyle Seager flies out to left fielder Phil Gosselin.","R","L","R","SEA","LAA","X",7,"fly_ball",0,1,2021,0.39,0.08,-0.68,1.88,NA,NA,NA,1,5,"Bot",65.83,83.53,NA,NA,435559,NA,NA,3.56651426897833,-124.01248545401,-2.56520617517751,3.27655258350795,26.4159625480725,-31.0305110552433,3.37,1.53,322,93.9,25,84.6,2091,6,632237,594577,435559,665120,664058,608686,650859,594838,501571,670351,54.48,0.183,0.243,0,1,0,0,3,51,2,"Slider",2,7,2,7,7,2,2,7,"Infield shift","Standard",126,-0.008,-0.136
