Period,Team,Player,SOG.Outcome,Shot.Location,Time,Powerplay,X,Y,goal_or_not,game_date,Opponent,game_id
1,NCST,12,Blocked,Middle,2:15,No,-22.75,0.67,NO_GOAL,02-02-2024,NCST,NCST_02-02-2024
1,UNC,16,Gloved,Middle Left,2:33,No,11,12.98,NO_GOAL,02-02-2024,NCST,NCST_02-02-2024
1,NCST,14,Gloved,Middle Right,2:43,No,-13.06,-5.83,NO_GOAL,02-02-2024,NCST,NCST_02-02-2024
1,NCST,8,Gloved,Middle Right,3:32,No,-8.56,13.29,NO_GOAL,02-02-2024,NCST,NCST_02-02-2024
1,NCST,7,Blocked,Top Middle,3:42,No,-19.06,1.5,NO_GOAL,02-02-2024,NCST,NCST_02-02-2024
1,UNC,10,Blocked,Bottom Left,4:07,No,18.69,6.23,NO_GOAL,02-02-2024,NCST,NCST_02-02-2024
1,NCST,27,Goal,Middle Left,6:48,Yes,-9.44,3.92,GOAL,02-02-2024,NCST,NCST_02-02-2024
1,NCST,11,Blocked,Bottom Left,7:49,No,-21.81,-1.71,NO_GOAL,02-02-2024,NCST,NCST_02-02-2024
1,NCST,29,Blocked,Bottom Left,8:46,No,-23.25,-12.02,NO_GOAL,02-02-2024,NCST,NCST_02-02-2024
1,NCST,7,Blocked,Bottom Left,9:57,No,-16.06,-4.74,NO_GOAL,02-02-2024,NCST,NCST_02-02-2024
1,UNC,72,Blocked,Middle Left,10:30,No,13.25,4.89,NO_GOAL,02-02-2024,NCST,NCST_02-02-2024
1,UNC,16,Blocked,Bottom Middle,10:45,No,23.25,-0.55,NO_GOAL,02-02-2024,NCST,NCST_02-02-2024
1,UNC,21,Blocked,Middle,11:58,No,21.56,-2.03,NO_GOAL,02-02-2024,NCST,NCST_02-02-2024
1,NCST,29,Blocked,Bottom Middle,13:25,No,-24.13,2.57,NO_GOAL,02-02-2024,NCST,NCST_02-02-2024
1,NCST,27,Gloved,Middle Left,13:48,No,-18.75,-7.11,NO_GOAL,02-02-2024,NCST,NCST_02-02-2024
1,NCST,26,Gloved,Middle Right,15:23,No,-17,8.32,NO_GOAL,02-02-2024,NCST,NCST_02-02-2024
1,UNC,22,Blocked,Bottom Middle,16:27,No,23.06,-2.07,NO_GOAL,02-02-2024,NCST,NCST_02-02-2024
1,UNC,21,Blocked,Bottom Right,16:42,No,14.12,0.32,NO_GOAL,02-02-2024,NCST,NCST_02-02-2024
1,NCST,27,Goal,Middle Left,18:12,No,-14.56,2.91,GOAL,02-02-2024,NCST,NCST_02-02-2024
2,NCST,12,Blocked,Bottom Left,1:39,No,23.06,0.22,NO_GOAL,02-02-2024,NCST,NCST_02-02-2024
2,NCST,12,Blocked,Bottom Left,2:10,No,25.19,2.35,NO_GOAL,02-02-2024,NCST,NCST_02-02-2024
2,UNC,7,Gloved,Bottom Right,2:40,No,-17.31,7.75,NO_GOAL,02-02-2024,NCST,NCST_02-02-2024
2,NCST,11,Blocked,Middle,5:39,No,15.25,-6.25,NO_GOAL,02-02-2024,NCST,NCST_02-02-2024
